,,,,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line,,,,,
Aviation,Industry,2,Legacy,51,0,0,#edbd93,,Aviation,0,0.5,0.05,,,,,Green 1,#b9f0b6
Freight and transport,Industry,2,Mobility decarbonization,51,1,81020.28,#edbd93,,Freight and transport,1,0.5,0.07,,,,,Green 2,#9cd199
Methane,Industry,8,Making emissions visible,51,2,2524087.74,#edbd93,,Methane,2,0.5,0.09,,,,,Green 3,#76ad72
Mining,Industry,7,Power sector decarbonization,51,3,84240.47,#edbd93,,Mining,3,0.5,0.11,,,,,Green 4,#4f944a
COMET,Industry,2,Making emissions visible,51,4,0,#edbd94,,COMET,4,,,,,,,,
Hydrogen,Industry,Not listed,Breakthrough technology,51,5,0,#edbd93,,Hydrogen,5,0.5,0.13,,,,,Green 5,#1d5c19
Green steel,Industry,Not listed,Climate-aligned sectors,51,6,0,#edbd93,,Green steel,6,0.5,0.15,,,,,,
Pathways to Zero,Buildings,6,Building decarbonization,52,7,127832.62,#ebc334,,Pathways to Zero,7,0.5,0.17,,,,,,
Residential Energy +,Buildings,3,Building decarbonization,52,8,24122.53,#ebc334,,Residential Energy +,8,0.5,0.19,,,,,,
Portfolio Energy Optimization,Buildings,5,Building decarbonization,52,9,0,#ebc334,,Portfolio Energy Optimization,9,0.5,0.21,,,,,,
Global Cooling Prize,Buildings,4,Legacy,52,10,1405151.82,#ebc334,,Global Cooling Prize,10,0.5,0.23,,,,,,
Realize,Buildings,4,Building decarbonization,52,11,0,#ebc334,,Realize,11,0.5,0.25,,,,,,
States and Cities campaigns (including city cohorts),Building Electrification,6,Building decarbonization,53,12,0,#d6eb34,,States and Cities campaigns (including city cohorts),12,0.5,0.27,,,,,,
Media and Communications,Building Electrification,1,Building decarbonization,53,13,0,#d6eb34,,Media and Communications,13,0.5,0.29,,,,,,
Health/ Air Pollution,Building Electrification,1,Building decarbonization,53,14,0,#d6eb34,,Health/ Air Pollution,14,0.5,0.31,,,,,,
Regulatory/Utility Solutions,Building Electrification,3,Building decarbonization,53,15,48334.22,#d6eb34,,Regulatory/Utility Solutions,15,0.5,0.33,,,,,,
Technical Support and Research,Building Electrification,2,Building decarbonization,53,16,19009.27,#d6eb34,,Technical Support and Research,16,0.5,0.35,,,,,,
Coal End Game,Electricity,6.3,Power sector decarbonization,54,17,96952.18,#77eb34,,Coal End Game,17,0.5,0.37,,,,,,
Distributed grid infrastructure,Electricity,5,Power sector decarbonization,54,18,0,#77eb34,,Distributed grid infrastructure,18,0.5,0.39,,,,,,
Utility Models,Electricity,,Power sector decarbonization,54,19,0,#77eb34,,Utility Models,19,0.5,0.41,,,,,,
eLab,Electricity,4,Power sector decarbonization,54,20,70131.49,#77eb34,,eLab,20,0.5,0.43,,,,,,
Shine,Electricity,2,Legacy,54,21,77817.15,#77eb34,,Shine,21,0.5,0.45,,,,,,
Business models and regulatory design,Electricity,8.7,Power sector decarbonization,54,22,9909.89,#77eb34,,Business models and regulatory design,22,0.5,0.47,,,,,,
Zero carbon cities implementation,China,7,Urban transformation,55,23,238520.45,#34ebc3,,Zero carbon cities implementation,23,0.5,0.49,,,,,,
Power market reform,China,6,Power sector decarbonization,55,24,0,#34ebc3,,Power market reform,24,0.5,0.51,,,,,,
Harder to abate,China,7,Climate-aligned sectors,55,25,0,#34ebc3,,Harder to abate,25,0.5,0.53,,,,,,
EV grid,Mobility,2,Mobility decarbonization,56,26,0,#34c9eb,,EV grid,26,0.5,0.55,,,,,,
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,56,27,0,#34c9eb,,Mobility Innovation Lab,27,0.5,0.57,,,,,,
eBuses/fleets,Mobility,4,Urban transformation,56,28,0,#34c9eb,,eBuses/fleets,28,0.5,0.59,,,,,,
Mobility data,Mobility,0,Mobility decarbonization,56,29,0,#34c9eb,,Mobility data,29,0.5,0.61,,,,,,
Urban Mobility Lab,India,7.5,Mobility decarbonization,57,30,0,#a6cff7,,Urban Mobility Lab,30,0.5,0.63,,,,,,
National Mobility Platform,India,5,Mobility decarbonization,57,31,0,#a6cff7,,National Mobility Platform,31,0.5,0.65,,,,,,
Electricity (India),India,3.5,Power sector decarbonization,57,32,0,#a6cff7,,Electricity (India),32,0.5,0.67,,,,,,
Third Derivative (Energy collaborative),RMI Ventures,2.3,Breakthrough technology,58,33,0,#eff7a6,,Third Derivative (Energy collaborative),33,0.5,0.69,,,,,,
"Market affiliates (EWF, WattTime etc)",RMI Ventures,0,Making emissions visible,58,34,0,#eff7a6,,"Market affiliates (EWF, WattTime etc)",34,0.5,0.71,,,,,,
Minigrids,ECE,2,LIC/MIC energy transition,59,35,0,#ffb3e6,,Minigrids,35,0.5,0.73,,,,,,
Productive Use,ECE,6,Implementation unit,59,36,0,#ffb3e6,,Productive Use,36,0.5,0.75,,,,,,
Islands,ECE,11,Implementation unit,59,37,1538381.99,#ffb3e6,,Islands,37,0.5,0.77,,,,,,
SE Asia,ECE,2,Power sector decarbonization,59,38,0,#ffb3e6,,SE Asia,38,0.5,0.79,,,,,,
Power sector DERs,ECE,5,Power sector decarbonization,59,39,0,#ffb3e7,,Power sector DERs,39,,,,,,,,
Climate Finance Access Network,Global Climate Finance,2,LIC/MIC energy transition,60,40,0,#ffb3b3,,Climate Finance Access Network,40,0.5,0.81,,,,,,
Coal Financing,Global Climate Finance,0.5,Power sector decarbonization,60,41,0,#ffb3b3,,Coal Financing,41,0.5,0.83,,,,,,
Green Investment Bank,Global Climate Finance,2,Legacy,60,42,0,#ffb3b3,,Green Investment Bank,42,0.5,0.85,,,,,,
Climate Aligned Finance,Global Climate Finance,7,Climate-aligned sectors,60,43,978497.2,#ffb3b3,,Climate Aligned Finance,43,0.5,0.87,,,,,,
Results Based Climate Finance,Global Climate Finance,4,Legacy,60,44,0,#ffb3b3,,Results Based Climate Finance,44,0.5,0.89,,,,,,
America's Pledge,Carbon-Free Cities and Regions,4,Legacy,61,45,247392.45,#d2b3ff,,America's Pledge,45,0.5,0.91,,,,,,
Beyond Carbon,Carbon-Free Cities and Regions,4,Building decarbonization,61,46,0,#d2b3ff,,Beyond Carbon,46,0.5,0.93,,,,,,
Cities Renewable Accelerator,Carbon-Free Cities and Regions,10,Urban transformation,61,47,1433605.04,#d2b3ff,,Cities Renewable Accelerator,47,0.5,0.95,,,,,,
Pathways for Global Energy Transformation,Emerging Solutions,6,Building Blocks,62,48,0,#deff63,,Pathways for Global Energy Transformation,48,,,,,,,,
Global Energy Solutions Lab,Emerging Solutions,5,Building Blocks,62,49,0,#deff63,,Global Energy Solutions Lab,49,,,,,,,,
Integrative Design,Emerging Solutions,1,Legacy,62,50,0,#deff63,,Integrative Design,50,,,,,,,,
Aviation,Industry,2,Legacy,0,70,0,#edbd93,,Industry,51,0.1,0.05,Right half of sankey below this line,,,,,
Freight and transport,Industry,2,Mobility decarbonization,1,64,81020.28,#edbd93,,Buildings,52,0.1,0.14,,,,,,
Methane,Industry,8,Making emissions visible,2,65,2524087.74,#edbd93,,Building Electrification,53,0.1,0.23,,,,,,
Mining,Industry,7,Power sector decarbonization,3,68,84240.47,#edbd93,,Electricity,54,0.1,0.32,,,,,,
COMET,Industry,2,Making emissions visible,4,65,0,#edbd94,,China,55,0.1,0.41,,,,,,
Hydrogen,Industry,Not listed,Breakthrough technology,5,66,0,#edbd93,,Mobility,56,0.1,0.5,,,,,,
Green steel,Industry,Not listed,Climate-aligned sectors,6,63,0,#edbd93,,India,57,0.1,0.59,,,,,,
Pathways to Zero,Buildings,6,Building decarbonization,7,67,127832.62,#ebc334,,RMI Ventures,58,0.1,0.68,,,,,,
Residential Energy +,Buildings,3,Building decarbonization,8,67,24122.53,#ebc334,,ECE,59,0.1,0.77,,,,,,
Portfolio Energy Optimization,Buildings,5,Building decarbonization,9,67,0,#ebc334,,Global Climate Finance,60,0.1,0.86,,,,,,
Global Cooling Prize,Buildings,4,Legacy,10,70,1405151.82,#ebc334,,Carbon-Free Cities and Regions,61,0.1,0.95,,,,,,
Realize,Buildings,4,Building decarbonization,11,67,0,#ebc334,,Emerging Solutions,62,0.9,0.05,,,,,,
States and Cities campaigns (including city cohorts),Building Electrification,6,Building decarbonization,12,67,0,#d6eb34,,Climate-aligned sectors,63,0.9,0.15,,,,,,
Media and Communications,Building Electrification,1,Building decarbonization,13,67,0,#d6eb34,,Mobility decarbonization,64,0.9,0.25,,,,,,
Health/ Air Pollution,Building Electrification,1,Building decarbonization,14,67,0,#d6eb34,,Making emissions visible,65,0.9,0.35,,,,,,
Regulatory/Utility Solutions,Building Electrification,3,Building decarbonization,15,67,48334.22,#d6eb34,,Breakthrough technology,66,0.9,0.45,,,,,,
Technical Support and Research,Building Electrification,2,Building decarbonization,16,67,19009.27,#d6eb34,,Building decarbonization,67,0.9,0.55,,,,,,
Coal End Game,Electricity,6.3,Power sector decarbonization,17,68,96952.18,#77eb34,,Power sector decarbonization,68,0.9,0.65,,,,,,
Distributed grid infrastructure,Electricity,5,Power sector decarbonization,18,68,0,#77eb34,,Urban transformation,69,0.9,0.75,,,,,,
Utility Models,Electricity,,Power sector decarbonization,19,68,0,#77eb34,,Legacy,70,0.9,0.85,,,,,,
eLab,Electricity,4,Power sector decarbonization,20,68,70131.49,#77eb34,,LIC/MIC energy transition,71,0.9,0.95,,,,,,
Shine,Electricity,2,Legacy,21,70,77817.15,#77eb34,,Implementation unit,72,,,,,,,,
Business models and regulatory design,Electricity,8.7,Power sector decarbonization,22,68,9909.89,#77eb34,,Building Blocks,73,,,,,,,,
Zero carbon cities implementation,China,4,Urban transformation,23,69,238520.45,#34ebc3,,,,,,,,,,,
Zero carbon cities implementation,China,3,Mobility decarbonization,23,64,,#34ebc3,,,,,,,,,,,
Power market reform,China,6,Power sector decarbonization,24,68,0,#34ebc3,,,,,,,,,,,
Harder to abate,China,7,Climate-aligned sectors,25,63,0,#34ebc3,,,,,,,,,,,
EV grid,Mobility,2,Mobility decarbonization,26,64,0,#34c9eb,,,,,,,,,,,
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,27,64,0,#34c9eb,,,,,,,,,,,
eBuses/fleets,Mobility,4,Urban transformation,28,69,0,#34c9eb,,,,,,,,,,,
Mobility data,Mobility,0,Mobility decarbonization,29,64,0,#34c9eb,,,,,,,,,,,
Urban Mobility Lab,India,7.5,Mobility decarbonization,30,64,0,#a6cff7,,,,,,,,,,,
National Mobility Platform,India,5,Mobility decarbonization,31,64,0,#a6cff7,,,,,,,,,,,
Electricity (India),India,3.5,Power sector decarbonization,32,68,0,#a6cff7,,,,,,,,,,,
Third Derivative (Energy collaborative),RMI Ventures,2.3,Breakthrough technology,33,66,0,#eff7a6,,,,,,,,,,,
"Market affiliates (EWF, WattTime etc)",RMI Ventures,0,Making emissions visible,34,65,0,#eff7a6,,,,,,,,,,,
Minigrids,ECE,2,LIC/MIC energy transition,35,71,0,#ffb3e6,,,,,,,,,,,
Minigrids,ECE,0,Implementation unit,35,72,,#ffb3e6,,,,,,,,,,,
Productive Use,ECE,6,Implementation unit,36,72,0,#ffb3e6,,,,,,,,,,,
Islands,ECE,11,Implementation unit,37,72,1538381.99,#ffb3e6,,,,,,,,,,,
SE Asia,ECE,2,Power sector decarbonization,38,68,0,#ffb3e6,,,,,,,,,,,
Power sector DERs,ECE,5,Power sector decarbonization,39,68,0,#ffb3e7,,,,,,,,,,,
Climate Finance Access Network,Global Climate Finance,2,LIC/MIC energy transition,40,71,0,#ffb3b3,,,,,,,,,,,
Coal Financing,Global Climate Finance,0.5,Power sector decarbonization,41,68,0,#ffb3b3,,,,,,,,,,,
Green Investment Bank,Global Climate Finance,2,Legacy,42,70,0,#ffb3b3,,,,,,,,,,,
Climate Aligned Finance,Global Climate Finance,7,Climate-aligned sectors,43,63,978497.2,#ffb3b3,,,,,,,,,,,
Results Based Climate Finance,Global Climate Finance,4,Legacy,44,70,0,#ffb3b3,,,,,,,,,,,
America's Pledge,Carbon-Free Cities and Regions,4,Legacy,45,70,247392.45,#d2b3ff,,,,,,,,,,,
Beyond Carbon,Carbon-Free Cities and Regions,4,Building decarbonization,46,67,0,#d2b3ff,,,,,,,,,,,
Cities Renewable Accelerator,Carbon-Free Cities and Regions,10,Urban transformation,47,69,1433605.04,#d2b3ff,,,,,,,,,,,
Pathways for Global Energy Transformation,Emerging Solutions,6,Building Blocks,48,73,0,#deff63,,,,,,,,,,,
Global Energy Solutions Lab,Emerging Solutions,5,Building Blocks,49,73,0,#deff63,,,,,,,,,,,
Integrative Design,Emerging Solutions,1,Legacy,50,70,0,#deff63,,,,,,,,,,,